id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Hour Drive,Velvet Parade,pop,relaxed,0.71,112,0.78,0.74,0.22
12,Quiet Signal,Static Harbor,ambient,focused,0.26,64,0.62,0.39,0.95
13,Electric Skyline,Neon Echo,synthwave,happy,0.84,128,0.73,0.78,0.14
14,Backstreet Echo,Max Pulse,rock,moody,0.67,140,0.45,0.61,0.12
15,Velvet Morning,Paper Lanterns,jazz,relaxed,0.44,96,0.72,0.56,0.81
16,Cold Start,Voltline,rock,intense,0.88,148,0.47,0.69,0.09
17,Neon Harbor,Orbit Bloom,ambient,chill,0.31,68,0.64,0.43,0.91
18,Weekend Pulse,Indigo Parade,indie pop,moody,0.73,118,0.68,0.77,0.33
19,Afterglow Rhythm,Slow Stereo,jazz,happy,0.49,102,0.76,0.59,0.74
20,Low Light Run,LoRoom,lofi,focused,0.38,76,0.57,0.61,0.79
21,Velvet Thunder,Max Pulse,pop,intense,0.90,136,0.74,0.86,0.08
22,Street Lamp Dreams,Velvet Parade,indie pop,relaxed,0.69,120,0.79,0.75,0.27
